Name,Energy (kcal),Protein,Carbohydrate,Fiber,Fat,Cholesterol,has_protein,has_carbs,has_fiber,has_cholesterol
"Infant formula, store brand, gentle or sensitivity",66,1.46,7.15,0,3.51,2,Low,Low,Low,Low
"Infant formula, store brand, added rice",65,1.49,7.17,0,3.36,0,Low,Low,Low,Low
"Infant formula, Enfamil ProSobee, ready-to-feed",66,1.64,7.07,0,3.49,0,Low,Low,Low,Low
"Infant formula, Enfamil ProSobee, powder, made with tap water",66,1.64,7.07,0,3.49,0,Low,Low,Low,Low
"Infant formula, Enfamil ProSobee, powder, made with bottled water",66,1.64,7.07,0,3.49,0,Low,Low,Low,Low
"Infant formula, Enfamil ProSobee, powder, made with baby water",66,1.64,7.07,0,3.49,0,Low,Low,Low,Low
"Infant formula, Similac Isomil Soy, ready-to-feed",65,1.58,6.73,0,3.53,0,Low,Low,Low,Low
"Infant formula, Similac Isomil Soy, powder, made with tap water",65,1.58,6.73,0,3.53,0,Low,Low,Low,Low
"Infant formula, Similac Isomil Soy, powder, made with bottled water",65,1.58,6.73,0,3.53,0,Low,Low,Low,Low
"Infant formula, Similac Isomil Soy, powder, made with baby water",65,1.58,6.73,0,3.53,0,Low,Low,Low,Low
"Infant formula, Similac for Diarrhea",66,1.76,6.67,0.7,3.6,0,Low,Low,Low,Low
"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed",64,1.6,7.12,0,3.28,1,Low,Low,Low,Low
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water",64,1.6,7.12,0,3.28,1,Low,Low,Low,Low
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water",64,1.6,7.12,0,3.28,1,Low,Low,Low,Low
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water",64,1.6,7.12,0,3.28,1,Low,Low,Low,Low
"Infant formula, store brand, soy",66,1.61,6.9,0,3.51,0,Low,Low,Low,Low
"Infant formula, Enfamil Nutramigen, ready-to-feed",67,1.82,6.94,0,3.49,0,Low,Low,Low,Low
"Infant formula, Enfamil Nutramigen, powder, made with water",67,1.82,6.94,0,3.49,0,Low,Low,Low,Low
"Infant formula, Enfamil Pregestimil, ready-to-feed",67,1.81,6.76,0,3.62,0,Low,Low,Low,Low
"Infant formula, Enfamil Pregestimil, powder, made with water",67,1.81,6.76,0,3.62,0,Low,Low,Low,Low
"Infant formula, amino acids",66,1.8,7.21,0,3.36,0,Low,Low,Low,Low
"Infant formula, low iron",66,1.43,6.9,0,3.6,2,Low,Low,Low,Low
"Milk, dry, not reconstituted",362,36.16,51.98,0,0.77,20,High,Medium,Low,Medium
"Whey, sweet, dry",353,12.93,74.46,0,1.07,6,Low,High,Low,Low
"Cocoa powder, not reconstituted",228,19.6,57.9,37,13.7,0,Medium,Medium,High,Low
"Chocolate beverage powder, dry mix, not reconstituted",400,4.55,90.28,4.5,2.27,0,Low,High,Medium,Low
"Chocolate beverage powder, light, dry mix, not reconstituted",350,9.09,68.31,9.1,4.5,0,Low,High,High,Low
"Milk, malted, dry mix, not reconstituted",372,0,92.96,0,0,0,Low,High,Low,Low
"Strawberry beverage powder, dry mix, not reconstituted",389,0.1,99.1,0,0.2,0,Low,High,Low,Low
"Cream, NS as to light, heavy, or half and half",131,3.13,4.3,0,11.5,35,Low,Low,Low,Medium
"Cream, light",195,2.96,3.66,0,19.1,59,Low,Low,Low,Medium
"Cream, half and half",131,3.13,4.3,0,11.5,35,Low,Low,Low,Medium
"Cream, half and half, flavored",130,3.07,4.5,0,11.28,34,Low,Low,Low,Medium
"Cream, half and half, fat free",59,2.6,9,0,1.4,5,Low,Low,Low,Low
"Cream, heavy",343,2.02,3.8,0,35.56,103,Low,Low,Low,High
"Cream, whipped",346,1.9,9.49,0,33.45,97,Low,Low,Low,Medium
"Coffee creamer, NFS",136,1,11.38,0,9.97,0,Low,Low,Low,Low
"Coffee creamer, liquid",136,1,11.38,0,9.97,0,Low,Low,Low,Low
"Coffee creamer, liquid, flavored",251,0.69,35.07,1.1,13.5,0,Low,Medium,Low,Low
"Coffee creamer, liquid, fat free",71,0.8,9.1,0,3.5,0,Low,Low,Low,Low
"Coffee creamer, liquid, fat free, flavored",154,0.6,31.72,0,2.7,0,Low,Medium,Low,Low
"Coffee creamer, liquid, fat free, sugar free, flavored",71,0.8,9.1,0,3.5,0,Low,Low,Low,Low
"Coffee creamer, liquid, sugar free, flavored",71,0.8,9.1,0,3.5,0,Low,Low,Low,Low
"Coffee creamer, powder",529,2.48,59.29,0,32.92,0,Low,Medium,Low,Low
"Coffee creamer, powder, flavored",482,0.68,75.42,1.2,21.47,0,Low,High,Low,Low
"Coffee creamer, powder, fat free",431,1.9,73.4,0,15.7,0,Low,High,Low,Low
"Coffee creamer,powder, sugar free, flavored",529,2.48,59.29,0,32.92,0,Low,Medium,Low,Low
"Coffee creamer, soy, liquid",136,1,11.38,0,9.97,0,Low,Low,Low,Low
Whipped topping,318,1.25,23.05,0,25.31,0,Low,Medium,Low,Low
"Whipped topping, fat free",224,3,23.6,0,13.1,2,Low,Medium,Low,Low
"Whipped topping, sugar free",224,3,23.6,0,13.1,2,Low,Medium,Low,Low
"Sour cream, regular",196,3.07,5.56,0,17.99,53,Low,Low,Low,Medium
"Sour cream, light",136,3.5,7.1,0,10.6,35,Low,Low,Low,Medium
"Sour cream, fat free",74,3.1,15.6,0,0,9,Low,Low,Low,Low
"Sour cream, imitation",208,2.4,6.63,0,19.52,0,Low,Low,Low,Low
"Dip, NFS",432,2.55,3.94,0.3,45.18,47,Low,Low,Low,Medium
"Chipotle dip, regular",426,1.99,3.15,0,45.08,46,Low,Low,Low,Medium
"Chipotle dip, light",195,1.82,13.2,0,15.15,24,Low,Low,Low,Medium
"Onion dip, regular",346,2.15,3.92,0.2,35.77,38,Low,Low,Low,Medium
"Onion dip, light",166,2,11.87,0.1,12.36,20,Low,Low,Low,Medium
"Ranch dip, regular",432,2.55,3.94,0.3,45.18,47,Low,Low,Low,Medium
"Ranch dip, light",201,2.35,13.95,0.2,15.25,24,Low,Low,Low,Medium
"Spinach dip, regular",345,2.35,3.44,0.3,35.83,38,Low,Low,Low,Medium
"Spinach dip, light",165,2.2,11.42,0.3,12.41,20,Low,Low,Low,Medium
"Vegetable dip, regular",429,2.23,3.57,0.3,45.12,46,Low,Low,Low,Medium
"Vegetable dip, light",198,2.04,13.6,0.3,15.19,24,Low,Low,Low,Medium
"Ice cream, NFS",221,3.57,26.36,0.8,11.3,42,Low,Medium,Low,Medium
"Ice cream, vanilla",207,3.5,23.6,0.7,11,44,Low,Medium,Low,Medium
"Ice cream, vanilla, with additional ingredients",242,3.67,30.51,1,11.76,38,Low,Medium,Low,Medium
"Ice cream, chocolate",216,3.8,28.2,1.2,11,34,Low,Medium,Low,Medium
"Ice cream, chocolate, with additional ingredients",249,3.93,34.39,1.5,11.76,30,Low,Medium,Low,Medium
"Ice cream, soft serve, vanilla",180,4.78,29.46,0.3,4.83,27,Low,Medium,Low,Medium
"Ice cream, soft serve, chocolate",187,5,25.7,0.8,7.19,28,Low,Medium,Low,Medium
"Gelato, vanilla",249,3.5,22.29,0,16.2,92,Low,Medium,Low,Medium
"Gelato, chocolate",251,4.72,19.78,0.9,16.98,60,Low,Low,Low,Medium
"Ice cream bar, vanilla",358,2.11,37.12,1.1,25.26,16,Low,Medium,Low,Low
"Ice cream bar, vanilla, chocolate coated",331,4.1,24.5,0.8,24.1,28,Low,Medium,Low,Medium
Ice cream candy bar,323,4.4,30.9,0.6,20.2,1,Low,Medium,Low,Low
"Ice cream bar, chocolate",329,4.41,25.17,1.5,23.89,27,Low,Medium,Low,Medium
"Ice cream sandwich, vanilla",264,4.28,35.88,1.4,11.8,34,Low,Medium,Low,Medium
"Ice cream sandwich, chocolate",270,4.5,39.33,1.8,11.8,26,Low,Medium,Low,Medium
Ice cream cookie sandwich,317,4.61,43.35,1.7,14.11,24,Low,Medium,Low,Medium
"Ice cream cone, scooped, vanilla",215,3.68,25.82,0.8,10.84,42,Low,Medium,Low,Medium
"Ice cream cone, scooped, vanilla, waffle cone",218,3.76,27.16,0.8,10.58,41,Low,Medium,Low,Medium
"Ice cream cone, NFS",229,3.75,28.47,0.9,11.13,40,Low,Medium,Low,Medium
"Ice cream cone, scooped, chocolate",224,3.97,30.23,1.3,10.84,33,Low,Medium,Low,Medium
"Ice cream cone, scooped, chocolate, waffle cone",227,4.04,31.49,1.2,10.58,32,Low,Medium,Low,Medium
"Ice cream cone, soft serve, vanilla",189,4.91,31.44,0.4,4.91,26,Low,Medium,Low,Medium
"Ice cream cone, soft serve, chocolate",196,5.12,27.83,0.9,7.18,27,Low,Medium,Low,Medium
"Ice cream cone, soft serve, vanilla, waffle cone",193,4.96,32.67,0.4,4.77,25,Low,Medium,Low,Medium
"Ice cream cone, soft serve, chocolate, waffle cone",200,5.17,29.14,0.9,6.99,26,Low,Medium,Low,Medium
"Ice cream cone, vanilla, prepackaged",354,5.21,34.38,1,21.88,21,Low,Medium,Low,Medium
"Ice cream cone, chocolate, prepackaged",353,5.35,34.62,1.4,21.8,21,Low,Medium,Low,Medium
"Ice cream soda, flavors other than chocolate",85,0.92,14.02,0.2,2.9,12,Low,Low,Low,Low
"Ice cream soda, chocolate",87,1,15.23,0.3,2.9,9,Low,Low,Low,Low
"Ice cream sundae, NFS",243,3.7,31.94,1.1,11.16,36,Low,Medium,Low,Medium
